content_type,profession,front,accepted_answers,count,source_paths,sample_ids
sentence_card,practical_nurse,complete the missing part of the sentence.,"muita toimenpiteeseen liittyviä leikkausinfektioita aiheuttavia tekijöitä ovat toimenpiteiden määrä, kesto ja kiireellisyys; kokemattomuus; vierasesineet kuten dreenit ja endoproteesit; alavatsan viilto, kudostrauman määrä, jäävän kuolleen tilan määrä, hemostaasin pitävyys ja kudoksen happeutuminen; sekä aseptiikan pettäminen, kuten käsineen rikkoutuminen ja huono ihon karvojen poisto ja desinfektio | desinfektio | desinfektio",20,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/phrases/b1_b2.json,card.sentence.practical_nurse.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..1171 || card.sentence.practical_nurse.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..1403 || card.sentence.practical_nurse.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..5956 || card.sentence.practical_nurse.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..6114 || card.sentence.practical_nurse.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..6119
sentence_card,doctor,complete the missing part of the sentence.,"muita toimenpiteeseen liittyviä leikkausinfektioita aiheuttavia tekijöitä ovat toimenpiteiden määrä, kesto ja kiireellisyys; kokemattomuus; vierasesineet kuten dreenit ja endoproteesit; alavatsan viilto, kudostrauman määrä, jäävän kuolleen tilan määrä, hemostaasin pitävyys ja kudoksen happeutuminen; sekä aseptiikan pettäminen, kuten käsineen rikkoutuminen ja huono ihon karvojen poisto ja desinfektio | desinfektio | desinfektio",18,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/phrases/b1_b2.json,card.sentence.doctor.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..0794 || card.sentence.doctor.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..10499 || card.sentence.doctor.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..1964 || card.sentence.doctor.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..1974 || card.sentence.doctor.muita.toimenpiteeseen.liittyvia.leikkausinfektioita.aiheuttavia..7257
sentence_card,practical_nurse,complete the missing part of the sentence.,"liian raskaan fyysisen aktiivisuuden on havaittu esimerkiksi vähentävän imusolujen eli lymfosyyttien määrää sekä aiheuttavan niiden toimintahäiriön, pienentävän t-solujen suhdetta ja vähentävän syljessä esiintyvän immunoglobuliini a:n määrää.[61] raskasta tai pitkäkestoista liikuntaa harrastavilla esiintyykin puolta enemmän ylähengitysteiden tulehduksia kuin niillä, jotka eivät harrasta liikuntaa[62]. | harrasta | harrasta",18,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/phrases/b1_b2.json,card.sentence.practical_nurse.liian.raskaan.fyysisen.aktiivisuuden.on.havaittu.esimerkiksi.vah.0662 || card.sentence.practical_nurse.liian.raskaan.fyysisen.aktiivisuuden.on.havaittu.esimerkiksi.vah.1464 || card.sentence.practical_nurse.liian.raskaan.fyysisen.aktiivisuuden.on.havaittu.esimerkiksi.vah.3601 || card.sentence.practical_nurse.liian.raskaan.fyysisen.aktiivisuuden.on.havaittu.esimerkiksi.vah.4651 || card.sentence.practical_nurse.liian.raskaan.fyysisen.aktiivisuuden.on.havaittu.esimerkiksi.vah.4967
sentence_card,practical_nurse,complete the missing part of the sentence.,"potilaaseen liittyvistä tekijöistä leikkausinfektion riskiä lisäävät muun muassa ikä, yleistila, suorituskyky, lihavuus ja aliravitsemus; sairaudet kuten infektiot, diabetes, munuaisten vajaatoiminta ja syövät; päihteet kuten tupakointi ja alkoholismi; sekä hoidot kuten sairaalahoitojaksot, sädehoito ja immunosuppressiiviset hoidot.[20] | immunosuppressiiviset | immunosuppressiiviset",17,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/phrases/b1_b2.json,card.sentence.practical_nurse.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.0476 || card.sentence.practical_nurse.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.0979 || card.sentence.practical_nurse.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.0984 || card.sentence.practical_nurse.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.1097 || card.sentence.practical_nurse.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.2365
sentence_card,nurse,complete the missing part of the sentence.,"kirurgiset toimenpiteet luokitellaan puhtaisiin (pl 1), puhtaisiin kontaminoituneisiin (pl 2), kontaminoituneisiin (pl3) ja likaisiin (pl4) riippuen siitä, avataanko kontaminoivia rakenteita, kuten maha-suolikanavaa, virtsateitä ja hengitysteitä, ja onko potilaalla toimenpiteen aikana leikkausalueen tai levinnyttä infektiota | infektiota | infektiota",16,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/phrases/b1_b2.json,card.sentence.nurse.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..1070 || card.sentence.nurse.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..3443 || card.sentence.nurse.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..3448 || card.sentence.nurse.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..3456 || card.sentence.nurse.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..3461
sentence_card,doctor,complete the missing part of the sentence.,"kirurgiset toimenpiteet luokitellaan puhtaisiin (pl 1), puhtaisiin kontaminoituneisiin (pl 2), kontaminoituneisiin (pl3) ja likaisiin (pl4) riippuen siitä, avataanko kontaminoivia rakenteita, kuten maha-suolikanavaa, virtsateitä ja hengitysteitä, ja onko potilaalla toimenpiteen aikana leikkausalueen tai levinnyttä infektiota | infektiota | infektiota",15,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/phrases/b1_b2.json,card.sentence.doctor.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..10652 || card.sentence.doctor.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..10889 || card.sentence.doctor.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..1902 || card.sentence.doctor.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..3966 || card.sentence.doctor.kirurgiset.toimenpiteet.luokitellaan.puhtaisiin.pl.1.puhtaisiin..5577
sentence_card,doctor,complete the missing part of the sentence.,"lääketieteessä tehdään joskus ero sairauden ja sairauden aiheuttavan rakenteen tai toiminnon poikkeavuuden kanssa siten, että englanninkielisillä termeillä illness ja sickness viitataan itse sairauteen ja termillä disease sairauden taustalta löytyvään rakenteelliseen tai toiminnalliseen poikkeavuuteen, jota ilman eläin tai kasvi ei voisi koskaan sairastua kyseiseen sairauteen[2] | kyseiseen | kyseiseen",15,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/phrases/b1_b2.json,card.sentence.doctor.laaketieteessa.tehdaan.joskus.ero.sairauden.ja.sairauden.aiheutt.0828 || card.sentence.doctor.laaketieteessa.tehdaan.joskus.ero.sairauden.ja.sairauden.aiheutt.0884 || card.sentence.doctor.laaketieteessa.tehdaan.joskus.ero.sairauden.ja.sairauden.aiheutt.10954 || card.sentence.doctor.laaketieteessa.tehdaan.joskus.ero.sairauden.ja.sairauden.aiheutt.1559 || card.sentence.doctor.laaketieteessa.tehdaan.joskus.ero.sairauden.ja.sairauden.aiheutt.4568
sentence_card,doctor,complete the missing part of the sentence.,"potilaaseen liittyvistä tekijöistä leikkausinfektion riskiä lisäävät muun muassa ikä, yleistila, suorituskyky, lihavuus ja aliravitsemus; sairaudet kuten infektiot, diabetes, munuaisten vajaatoiminta ja syövät; päihteet kuten tupakointi ja alkoholismi; sekä hoidot kuten sairaalahoitojaksot, sädehoito ja immunosuppressiiviset hoidot.[20] | immunosuppressiiviset | immunosuppressiiviset",15,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/phrases/b1_b2.json,card.sentence.doctor.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.0485 || card.sentence.doctor.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.10083 || card.sentence.doctor.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.11366 || card.sentence.doctor.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.3111 || card.sentence.doctor.potilaaseen.liittyvista.tekijoista.leikkausinfektion.riskia.lisa.3116
sentence_card,doctor,complete the missing part of the sentence.,yleisemmin tunnettujen tulehdusvälittäjäaineiden kohonnut pitosuus veressä korreloi miehillä suuremman kuolleisuuden ja suuremman sydän- ja verisuonitautien esiintyvyyden kanssa.[55] matala-asteisen tulehduksen arviointiin voidaan käyttää myös herkän crp:n tasoa selvittävää laboratoriotutkimusta.[56] | selvittävää | selvittävää,15,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/phrases/b1_b2.json,card.sentence.doctor.yleisemmin.tunnettujen.tulehdusvalittajaaineiden.kohonnut.pitosu.0061 || card.sentence.doctor.yleisemmin.tunnettujen.tulehdusvalittajaaineiden.kohonnut.pitosu.0756 || card.sentence.doctor.yleisemmin.tunnettujen.tulehdusvalittajaaineiden.kohonnut.pitosu.11505 || card.sentence.doctor.yleisemmin.tunnettujen.tulehdusvalittajaaineiden.kohonnut.pitosu.4765 || card.sentence.doctor.yleisemmin.tunnettujen.tulehdusvalittajaaineiden.kohonnut.pitosu.5284
sentence_card,doctor,complete the missing part of the sentence.,"myös tutkittavan oma raskaaksituloikä sekä 23-vuotiaana selvitetty koulutustaso, ammattiasema, aikuisiän mielenterveysongelmat ja päihteiden käyttö otettiin huomioon tuloksessa.[28] | huomioon | huomioon",14,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/phrases/b1_b2.json,card.sentence.doctor.myos.tutkittavan.oma.raskaaksituloika.seka.23.vuotiaana.selvitet.0290 || card.sentence.doctor.myos.tutkittavan.oma.raskaaksituloika.seka.23.vuotiaana.selvitet.10033 || card.sentence.doctor.myos.tutkittavan.oma.raskaaksituloika.seka.23.vuotiaana.selvitet.1529 || card.sentence.doctor.myos.tutkittavan.oma.raskaaksituloika.seka.23.vuotiaana.selvitet.1703 || card.sentence.doctor.myos.tutkittavan.oma.raskaaksituloika.seka.23.vuotiaana.selvitet.4298
