area,hit_count,ratio,sample_ids,sample_fronts
patient_interaction,233,0.020763,card.sentence.practical_nurse.kirjaan.asiakkaan.tiedot.potilastietojarjestelmaan.jokaisen.tyov.1397 || card.sentence.practical_nurse.kirjaan.kaikki.poikkeavat.loydokset.potilastietojarjestelmaan.ja.1398 || card.sentence.practical_nurse.selvitan.asiakkaan.yleisvoinnin.kysymalla.hanen.vointiaan.ja.tar.1410 || card.sentence.practical_nurse.tarkistan.potilasturvallisuuteen.liittyvat.riskit.ja.toteutan.ta.1418 || card.sentence.practical_nurse.asetuksen.mukaan.laakarin.pitaa.tutkia.potilas.tai.muutoin.varmi.0451,I record the patient's information in the patient information system after every shift. -> ? || I document all abnormal findings in the patient information system and report them immediately to my supervisor. -> ? || I assess the patient's general condition by asking how they are feeling and observing symptoms. -> ?
symptoms_conditions,801,0.071378,card.sentence.practical_nurse.mittaan.asiakkaan.verenpaineen.ennen.laakarin.tapaamista.1383 || card.sentence.practical_nurse.selvitan.asiakkaan.kivun.voimakkuuden.ja.tarpeen.kipulaakityksel.1409 || card.sentence.practical_nurse.selvitan.asiakkaan.yleisvoinnin.kysymalla.hanen.vointiaan.ja.tar.1410 || card.sentence.practical_nurse.mittaan.asiakkaan.verenpaineen.ennen.laakarin.tapaamista.1383 || card.sentence.practical_nurse.aina.on.ollut.ihmisia.jotka.ovat.joutuneet.erikoistumaan.sairaid.3736,I measure the patient's blood pressure before the doctor's appointment. -> ? || I assess the patient's pain intensity and need for pain medication before administering the medicine. -> ? || I assess the patient's general condition by asking how they are feeling and observing symptoms. -> ?
medication_dosage,464,0.041347,card.sentence.practical_nurse.tarkistan.laakelistan.yhdessa.asiakkaan.kanssa.ja.varmistan.etta.1416 || card.sentence.practical_nurse.asetuksen.mukaan.laakarin.pitaa.tutkia.potilas.tai.muutoin.varmi.0451 || card.sentence.practical_nurse.asetuksen.mukaan.laakarin.pitaa.tutkia.potilas.tai.muutoin.varmi.1077 || card.sentence.practical_nurse.asetuksen.mukaan.laakarin.pitaa.tutkia.potilas.tai.muutoin.varmi.4861 || card.sentence.practical_nurse.asetuksen.mukaan.laakarin.pitaa.tutkia.potilas.tai.muutoin.varmi.5196,I check the medication list together with the patient and ensure the information is up to date. -> ? || Complete the missing part of the sentence. || Complete the missing part of the sentence.
hygiene_infection,240,0.021387,card.sentence.practical_nurse.huolehdin.hygieniasta.ja.infektioiden.torjunnasta.tyossani.1378 || card.sentence.practical_nurse.kaytan.kasidesia.aina.ennen.asiakkaan.kohtaamista.1382 || card.sentence.practical_nurse.kaynnistan.infektioiden.torjuntatoimet.valittomasti.kun.havaitse.1400 || card.sentence.practical_nurse.huolehdin.hygieniasta.ja.infektioiden.torjunnasta.tyossani.1378 || card.sentence.practical_nurse.kaytan.kasidesia.aina.ennen.asiakkaan.kohtaamista.1382,I take care of hygiene and infection control in my work. -> ? || I use hand sanitizer always before meeting the patient. -> ? || I initiate infection control measures immediately when I detect a risk of infection on my ward. -> ?
handover,0,0.0,,
documentation,140,0.012475,card.sentence.practical_nurse.kirjaan.asiakkaan.tiedot.potilastietojarjestelmaan.jokaisen.tyov.1397 || card.sentence.practical_nurse.kirjaan.kaikki.poikkeavat.loydokset.potilastietojarjestelmaan.ja.1398 || card.sentence.practical_nurse.raportoimme.hoitajalle.asiakkaan.vointimuutoksesta.1407 || card.sentence.practical_nurse.seuraan.asiakkaan.verensokeria.saannollisesti.ja.kirjaan.tulokse.1412 || card.sentence.practical_nurse.ensin.pyydettaisin.pitamaan.ruokapaivakirjaa.ja.kannustettaisiin.3314,I record the patient's information in the patient information system after every shift. -> ? || I document all abnormal findings in the patient information system and report them immediately to my supervisor. -> ? || We report to the nurse about the patient's change in condition. -> ?
emergency,18,0.001604,card.sentence.practical_nurse.elektiivisten.leikausten.vastakohta.on.paivystyskirurgia.jossa.l.6053 || card.sentence.practical_nurse.elektiivisten.leikausten.vastakohta.on.paivystyskirurgia.jossa.l.7135 || card.sentence.practical_nurse.elektiivisten.leikausten.vastakohta.on.paivystyskirurgia.jossa.l.7140 || card.sentence.practical_nurse.elektiivisten.leikausten.vastakohta.on.paivystyskirurgia.jossa.l.7145 || card.sentence.practical_nurse.elektiivisten.leikausten.vastakohta.on.paivystyskirurgia.jossa.l.7150,Complete the missing part of the sentence. || Complete the missing part of the sentence. || Complete the missing part of the sentence.
consent_privacy,15,0.001337,card.sentence.practical_nurse.ylen.haastattelemat.henkilot.kertovat.pidempiaikaisesta.luottamu.2485 || card.sentence.practical_nurse.ylen.haastattelemat.henkilot.kertovat.pidempiaikaisesta.luottamu.3008 || card.sentence.practical_nurse.ylen.haastattelemat.henkilot.kertovat.pidempiaikaisesta.luottamu.3019 || card.sentence.practical_nurse.ylen.haastattelemat.henkilot.kertovat.pidempiaikaisesta.luottamu.3024 || card.sentence.practical_nurse.ylen.haastattelemat.henkilot.kertovat.pidempiaikaisesta.luottamu.3029,Complete the missing part of the sentence. || Complete the missing part of the sentence. || Complete the missing part of the sentence.
elderly_homecare,41,0.003654,card.sentence.practical_nurse.tuen.muistisairasta.asiakasta.arjen.toiminnoissa.ja.kaytan.selke.1420 || card.sentence.practical_nurse.han.on.koulutukseltaan.sairaanhoitaja.mutta.laphan.laakarin.kirj.1087 || card.sentence.practical_nurse.han.on.koulutukseltaan.sairaanhoitaja.mutta.laphan.laakarin.kirj.2843 || card.sentence.practical_nurse.laakarinlausunnon.mukaan.aidilla.epaillaan.myos.muistisairautta.3899 || card.sentence.practical_nurse.laakarinlausunnon.mukaan.aidilla.epaillaan.myos.muistisairautta.3904,"I support the patient with dementia in daily activities and use clear, calm instructions. -> ? || Complete the missing part of the sentence. || Complete the missing part of the sentence."
family_empathy,53,0.004723,card.sentence.practical_nurse.autan.asiakasta.peseytymisessa.joka.aamu.1376 || card.sentence.practical_nurse.autan.asiakasta.ruokailussa.ja.varmistan.etta.ruoka.on.sopivan.l.1377 || card.sentence.practical_nurse.autan.asiakasta.peseytymisessa.joka.aamu.1376 || card.sentence.practical_nurse.autan.asiakasta.ruokailussa.ja.varmistan.etta.ruoka.on.sopivan.l.1377 || card.sentence.practical_nurse.he.ovat.paatyneet.yrittamaan.perheenlisaysta.keinohedelmoityksen.0377,I help the patient with washing every morning. -> ? || I help the patient with eating and ensure the food is at the right temperature and consistency. -> ? || I help the patient with washing every morning. -> ?
