id,title,category,severity,verdict,deployment_impact,owner,file_paths,evidence,recommended_fix,verification_steps,regression_risk,status,release_blocker
F001,load_runtime_bank KeyError 'prompt',cards-runtime,Critical,FAIL,blocks,backend,"apps/backend/app/runtime/cards_material_bank.py:105","line 105: item['prompt'] raises KeyError; dict has 'follow_up_prompt' not 'prompt'","Replace item['prompt'] with item.get('follow_up_prompt') or item.get('front') or ''","GET /cards/session?mode=vocabulary returns 200 with items",high,open,true
F002,Doctor card content: front=Finnish back=Finnish no English translation,content,Critical,FAIL,blocks,content,"apps/backend/practice/data/cards/doctor_cards.json","All 11507 cards have prompt='potilas' answer='potilas' - identical Finnish words, no English gloss","Add English translations to card answer field or switch to published materials with bilingual content","Inspect 20 doctor cards - front shows Finnish term, back shows English translation",high,open,true
F003,Nurse card content: front=Finnish back=Finnish no English translation,content,Critical,FAIL,blocks,content,"apps/backend/practice/data/cards/nurse_cards.json","All 7551 cards have same Finnish word in prompt and answer fields","Add English translations to card answer field","Inspect 20 nurse cards - front shows Finnish term, back shows English translation",high,open,true
F004,TTS provider not configured - silent failure,infra,Critical,FAIL,blocks,infra,"apps/backend/app/core/config.py:151-165,apps/backend/app/services/tts/runtime.py:149-180","openai_api_key='' and google_tts_credentials_path=None causes _pick_provider_and_voice() to return (None,None) -> TTSRouterError -> 503","Set OPENAI_API_KEY or GOOGLE_TTS_CREDENTIALS_PATH in production environment","GET /api/v1/voice/tts/health shows providers.openai or providers.google = ok",high,open,true
F005,Roleplay finish_session response shape mismatch,roleplay,High,FAIL,should-fix,backend,"apps/backend/app/runtime/roleplay.py:216-247,packages/core/api/roleplay.ts:51-76","Backend returns scores as {fluency:74} not {avgPhrasesCoverage:N}; missing transcriptAnnotated, summary, strongPhrases, difficultPhrases, grammarObservations, nextSteps, nextAction","Align get_roleplay_review() return shape with RoleplayFinishResponse TypeScript type","Complete 5-turn roleplay call /finish - response includes transcriptAnnotated array and summary",medium,open,true
F006,No entitlement check on professional cards endpoint,entitlements,High,FAIL,should-fix,backend,"apps/backend/app/routers/v1_cards.py:58-75","start_runtime_session route has no require_feature call for domain=professional; any authenticated user can access doctor/nurse cards","Add require_feature(user=user feature='workplace') when domain=='professional'","Free user token + domain=professional -> 403 ENTITLEMENT_REQUIRED",medium,open,true
F007,No entitlement check on roleplay session start,entitlements,High,FAIL,should-fix,backend,"apps/backend/app/routers/v1_roleplay.py:63-79","start_roleplay_session_route accepts no auth header; all sessions use user_id=preview; no profession-based access control","Add optional auth with require_feature for professional professions","Free user token + profession=doctor roleplay start -> 403",medium,open,false
F008,Grammar and phrase card mode returns 404 - content_type hardcoded,cards-runtime,Medium,FAIL,should-fix,backend,"apps/backend/app/runtime/cards_material_bank.py:83,apps/backend/app/runtime/cards_logic.py:133","load_authority_cards hardcodes content_type='vocabulary_card'; _filtered_cards skips all cards when content_type=grammar_card","Derive content_type from card type field or treat grammar/phrase requests as vocabulary fallback","GET /cards/session/adaptive/start?content_type=grammar_card returns cards not 404",medium,open,false
F009,Roleplay opening and reply text has ASCII-stripped Finnish characters,roleplay,Low,WARN,should-fix,backend,"apps/backend/app/runtime/roleplay.py:68,110-115","tanaan should be tänään; Selva should be Selvä; Minka should be Minkä; Hyva should be Hyvä; Ymmarran should be Ymmärrän","Replace ASCII-stripped strings with proper Unicode Finnish","Start roleplay session - openingText contains tänään with proper ä",low,open,false
F010,Roleplay replies are generic appointment-booking not profession-specific,roleplay,High,FAIL,blocks-product,backend,"apps/backend/app/runtime/roleplay.py:108-116","All 5 turns return identical appointment-booking Finnish text regardless of profession doctor/nurse/practical_nurse","Create profession-specific reply sets or integrate LLM for dynamic responses","Doctor roleplay turn returns patient consultation language not appointment booking",high,open,true
F011,Published card materials never loaded by runtime,cards-runtime,High,WARN,should-fix,backend,"apps/backend/app/runtime/cards_material_bank.py:11-12,apps/backend/materials/cards/published/","CARDS_DIR points to practice/data/cards/ not materials/cards/published/; 33 published JSON files with bilingual content quality scores never served","Update CARDS_DIR to load from materials/cards/published/ and update schema parser","GET /cards/deck returns cards with content from published directory (check id prefix card.vocab.doctor)",medium,open,false
F012,Practical nurse missing words/a1_a2 in published materials,content,Low,WARN,can-defer,content,"apps/backend/materials/cards/published/professional/practical_nurse/words/","practical_nurse words/ directory has only b1_b2.json; doctor and nurse both have a1_a2.json in words/","Create words/a1_a2.json for practical nurse with A1-A2 level vocabulary","ls apps/backend/materials/cards/published/professional/practical_nurse/words/ shows a1_a2.json",low,open,false
F013,Roleplay v2 sessions use hardcoded user_id=preview,roleplay,Medium,WARN,can-defer,backend,"apps/backend/app/runtime/roleplay.py:275","All v2 sessions use user_id=preview; any caller can access any session by guessing session_id","Accept optional auth token in v2 routes and use actual user_id if provided","Two different users start sessions; neither can access the other's session",medium,open,false
F014,personaName in start_session returns scenario title not persona name,roleplay,Low,WARN,can-defer,backend,"apps/backend/app/runtime/roleplay.py:299","scenario_meta['title'] = 'Doctor Patient Consult'; _SCENARIOS['doctor'][0]['personaName'] = 'Patient' never used","Use _SCENARIOS entry personaName field instead of scenario_meta title","POST /api/v1/roleplay/session/start with profession=doctor -> personaName=Patient",low,open,false
F015,Backend subscription_status does not return professions array,entitlements,Low,WARN,can-defer,backend,"apps/backend/app/services/subscription_service.py:139-172","subscription_status() never returns professions[] field; frontend must derive from tier string which is fragile","Add professions list to subscription_status() return value","GET /api/v1/subscription/status returns professions array",low,open,false
F016,TTS request endpoint has no authentication requirement,security,Low,WARN,can-defer,backend,"apps/backend/app/routers/v1_voice.py:54-58","POST /api/v1/voice/tts/requests accepts optional auth but does not require it; unauthenticated callers can trigger billable TTS API calls","Add authentication requirement to TTS endpoint","POST /api/v1/voice/tts/requests without auth -> 401",low,open,false
