id,title,category,severity,verdict,deployment_impact,owner,file_paths,evidence,recommended_fix,verification_steps,status,release_blocker
AUD-001,Committed secrets and sensitive runtime data are present in the repository,security/privacy,Critical,FAIL,blocks deployment,security/compliance,apps/backend/.env | apps/backend/app/runtime/state.json | android/app/debug.keystore,"apps/backend/.env:43 contains a live-looking OPENAI_API_KEY value. | apps/backend/.env:22 contains a malformed OPENAI_API_KEY line with an inline comment, proving env hygiene drift. | rg -n secret scan found password_hash material in apps/backend/app/runtime/state.json and a committed android/app/debug.keystore.","Purge committed secrets and runtime state from git history where required, rotate affected credentials immediately, remove committed debug/release-sensitive assets, and replace repo .env usage with secret injection per environment.","Rotate OPENAI and any other exposed credentials. | Confirm `git grep` no longer returns live secret values or password_hash snapshots. | Verify production deploys receive secrets only from secret management, not tracked files.",open,True
AUD-002,Mobile auth tokens are stored in AsyncStorage instead of secure storage,auth/identity,Critical,FAIL,blocks deployment,frontend/mobile,apps/client/state/authStore.ts | apps/client/services/authStorage.ts | app.json,"apps/client/state/authStore.ts:51-60 serializes the full auth session to AsyncStorage/localStorage. | apps/client/services/authStorage.ts:5-24 stores the bearer token in AsyncStorage, despite comments claiming secure storage. | app.json:2-3 enables expo-secure-store, but the code path does not use it.","Move token and session storage to SecureStore/Keychain equivalents, minimize locally stored auth payload, and add migration/clear logic for existing insecure keys.","Instrument login and confirm no auth token remains in AsyncStorage/localStorage. | Test session restore, logout, reinstall, and device backup/restore behavior. | Run a static grep proving AsyncStorage is no longer used for bearer token persistence.",open,True
AUD-003,Entitlements and billing are non-production stubs with dev-mode unlock behavior,billing/entitlements,Critical,FAIL,blocks deployment,backend,apps/backend/app/services/subscription_service.py | apps/backend/app/routers/v1_subscription.py | packages/core/api/billing.ts | apps/backend/app/core/config.py,"apps/backend/app/services/subscription_service.py:66-88 upgrades every user to professional_premium when SETTINGS.dev_mode is true. | apps/backend/app/routers/v1_subscription.py:26-50 returns development_stub checkout and portal URLs. | packages/core/api/billing.ts:16-18 calls /api/v1/subscription/plans, but no matching backend route exists in v1_subscription.py. | apps/backend/app/core/config.py defaults FLOENTLY_DEV_MODE to true unless overridden.","Remove dev-mode entitlement overrides from production code paths, implement real subscription plans/checkout/portal contracts, and add explicit environment gating that fails closed in production.","Run authenticated subscription status checks in production mode and verify no premium access is granted without a valid entitlement. | Smoke test /subscription/plans, /checkout, and /portal against real providers or a controlled sandbox. | Add automated tests for free, preview, paid, expired, and internal tester states.",open,True
AUD-004,Declared quality gates do not run successfully,testing/ci-cd,Critical,FAIL,blocks deployment,infra/devops,.github/workflows/ci.yml | tsconfig.json | apps/backend/tests/ | engine/tests/,"pytest apps/backend/tests engine/tests -q fails during collection with 13 ModuleNotFoundError import errors for api_contract, learning, cards, yki, and engine modules. | cd apps/client && npx tsc --noEmit fails with TS5090 because tsconfig.json defines paths without baseUrl. | cd apps/client && npx expo lint fails on the same tsconfig resolver issue before linting business logic. | .github/workflows/ci.yml:22-38 still advertises these broken gates as the release baseline.","Repair Python import/package layout and TS config resolution, then require passing backend tests, TypeScript, and lint in CI before merges.",Backend pytest completes without collection errors. | Client tsc and expo lint exit 0 on CI and locally. | Protect main/master with required passing checks.,open,True
AUD-005,"TTS runtime, diagnostics, and deployment contract are inconsistent",backend/runtime,Critical,FAIL,blocks deployment,backend,apps/backend/app/services/tts/runtime.py | apps/backend/app/services/voice_service.py | apps/backend/scripts/deploy.sh | apps/backend/.env,"apps/backend/app/services/tts/runtime.py:137-151 only selects OpenAI or development fallback; Google is never selected in the main resolver. | apps/backend/app/services/voice_service.py:237-250 reports Google as configured in health output, creating a false operational signal. | apps/backend/scripts/deploy.sh:33-37 excludes .env from rsync but deploy.sh:65-70 starts the container with --env-file $REMOTE_BACKEND/.env. | Local check showed resolve_tts_audio succeeds only via provider=openai, while the health snapshot claims default provider google.","Make TTS provider routing honor configured provider order, align health diagnostics to the actual resolver path, and make deployment env injection explicit and deterministic.",Production-mode TTS health endpoint must name the real active provider chain. | End-to-end TTS request succeeds on a clean deploy using only documented environment variables. | A regression test asserts Google/OpenAI/fallback selection behavior.,open,True
AUD-006,Boot health contract is unreliable and failed the provided boot gate,performance/reliability,High,FAIL,blocks deployment,infra/devops,apps/backend/scripts/boot_gate.sh | apps/backend/app/routers/health.py | apps/backend/main.py,"bash apps/backend/scripts/boot_gate.sh printed Import OK, then logged startup, then exited with `ERROR: /health did not respond within 10s`. | apps/backend/app/routers/health.py returns a static ok payload and does not validate DB, state store, YKI materials, TTS path, or mounted runtime dependencies.",Repair server startup/boot gate behavior and replace shallow health checks with readiness probes that validate critical dependencies and fail fast when the runtime is not genuinely ready.,"boot_gate.sh succeeds repeatedly on a clean environment. | Readiness endpoint reflects DB, auth state store, material authority, and TTS readiness. | Container orchestration uses readiness/liveness probes with realistic timeouts.",open,True
AUD-007,Environment separation is broken by hardcoded production URLs and committed local client env,environment/configuration,High,FAIL,should fix before deployment,frontend/mobile,packages/core/api/apiConfig.ts | apps/client/.env.local | render.yaml,packages/core/api/apiConfig.ts:1-7 hardcodes https://learn-api.floently.com and ignores EXPO_PUBLIC_API_BASE_URL. | apps/client/.env.local:1 points to a developer LAN host http://192.168.100.41:8000. | render.yaml defines only backend env vars and no mobile/web environment contract.,"Move API base URL resolution to explicit environment-configured values per build profile, remove committed machine-local env files, and document staging/production routing contracts.","Build the app for local, staging, and production with different API base URLs without code changes. | Static grep confirms no hardcoded production or developer LAN API endpoints remain.",open,False
AUD-008,Card runtime endpoints permit anonymous access and weaken authorization boundaries,security/privacy,High,FAIL,blocks deployment,backend,apps/backend/app/routers/v1_cards.py,"apps/backend/app/routers/v1_cards.py:29-38 maps missing auth to user_id=""anonymous"". | apps/backend/app/routers/v1_cards.py:51-108 exposes adaptive session start, answer, next, and deck retrieval without requiring a verified authenticated user.","Require authenticated identity for personalized card session endpoints, enforce entitlement checks, and add explicit public/private route boundaries.",Unauthenticated calls to adaptive session and deck endpoints return 401/403. | Authorized users can access only the tracks permitted by their entitlements.,open,True
AUD-009,Production auth/session architecture relies on JSON file state instead of durable hardened persistence,architecture/contracts,High,FAIL,blocks deployment,backend,apps/backend/app/core/state_store.py | apps/backend/app/services/auth_service.py | apps/backend/app/db/models.py,"apps/backend/app/core/state_store.py:42-56 stores users, tokens, sessions, oauth state, and YKI sessions in a single JSON-backed in-memory store. | The repository also contains ORM user/session-related models, proving dual persistence authorities rather than one production-grade source of truth. | State snapshots are written with write_snapshot() and a committed runtime state file already contains password_hash values.","Consolidate auth/session persistence onto a real transactional datastore, retire file-backed auth state for production, and define a single authority for identity/session records.",Auth lifecycle survives restarts without file-backed state mutation in the repo/runtime image. | Concurrent login/logout/refresh tests pass against the chosen database-backed implementation.,open,True
AUD-010,Android release configuration is not store-safe,mobile/store-readiness,Critical,FAIL,blocks deployment,frontend/mobile,android/app/build.gradle | android/app/src/main/AndroidManifest.xml | android/app/debug.keystore | app.json,"android/app/build.gradle:112-115 signs the release build with the debug keystore. | android/app/src/main/AndroidManifest.xml:5 requests SYSTEM_ALERT_WINDOW, a high-risk permission with no consumer justification in this product. | android/app/src/main/AndroidManifest.xml:15 sets android:allowBackup=""true"". | app.json is minimal and lacks store-facing metadata, privacy links, version discipline, and update-channel configuration.","Create a real release signing path, remove unjustified permissions, review backup behavior for sensitive data, and complete store metadata/configuration per platform.",Build signed release artifacts with a non-debug keystore/certificate. | Permission review passes with only justified runtime permissions present. | Internal test uploads to Play/App Store Connect validate package metadata and signing.,open,True
