id,profession,front,reasons,source,source_path
card.vocab.doctor.elektiivinen.leikkaus.0245,doctor,elektiivinen leikkaus,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.doctor.kiireellinen.leikkaus.0278,doctor,kiireellinen leikkaus,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.doctor.nayttoon.perustuva.0306,doctor,näyttöön perustuva,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.doctor.ottaa.huomioon.0311,doctor,ottaa huomioon,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.doctor.ottaa.kantaa.0312,doctor,ottaa kantaa,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.doctor.sulkea.pois.0342,doctor,sulkea pois,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.doctor.tt.id.0353,doctor,TT,too_short,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.doctor.tiedolla.johtaminen.0422,doctor,tiedolla johtaminen,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.ei.id.0566,nurse,ei,too_short,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.hyvaa.huomenta.0576,nurse,hyvää huomenta,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.hyvaa.iltaa.0577,nurse,hyvää iltaa,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.hyvaa.paivaa.0578,nurse,hyvää päivää,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.hyvaa.yota.0579,nurse,hyvää yötä,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.moi.moi.0617,nurse,moi moi,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.ole.hyva.0623,nurse,ole hyvä,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.yo.id.0669,nurse,yö,too_short,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.lahelta.piti.tilanne.1212,nurse,läheltä piti -tilanne,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.nurse.nayttoon.perustuva.1230,nurse,näyttöön perustuva,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json
card.vocab.doctor.elektiivinen.leikkaus.0245,doctor,elektiivinen leikkaus,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/b1_b2.json
card.vocab.doctor.kiireellinen.leikkaus.0278,doctor,kiireellinen leikkaus,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/b1_b2.json
card.vocab.doctor.nayttoon.perustuva.0306,doctor,näyttöön perustuva,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/b1_b2.json
card.vocab.doctor.ottaa.huomioon.0311,doctor,ottaa huomioon,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/b1_b2.json
card.vocab.doctor.ottaa.kantaa.0312,doctor,ottaa kantaa,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/b1_b2.json
card.vocab.doctor.sulkea.pois.0342,doctor,sulkea pois,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/b1_b2.json
card.vocab.doctor.tt.id.0353,doctor,TT,too_short,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/b1_b2.json
card.vocab.doctor.tiedolla.johtaminen.0422,doctor,tiedolla johtaminen,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/c1_c2.json
card.vocab.nurse.ei.id.0566,nurse,ei,too_short,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/words/a1_a2.json
card.vocab.nurse.hyvaa.huomenta.0576,nurse,hyvää huomenta,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/words/a1_a2.json
card.vocab.nurse.hyvaa.iltaa.0577,nurse,hyvää iltaa,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/words/a1_a2.json
card.vocab.nurse.hyvaa.paivaa.0578,nurse,hyvää päivää,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/words/a1_a2.json
card.vocab.nurse.hyvaa.yota.0579,nurse,hyvää yötä,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/words/a1_a2.json
card.vocab.nurse.moi.moi.0617,nurse,moi moi,multiword_vocab_token,published,/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/words/a1_a2.json
