path,change_type,scope,notes
apps/backend/tools/phase_5_2_live_verification.py,modified,pass_6,"Removed dependency on checked-in runtime upload sample by generating a temporary WAV fixture"
docs/cleanup/executed_prompts/cleanup_agent_prompt_pass_final.md,added,pass_6,"Executed final residue-cleanup prompt normalized under executed_prompts"
docs/cleanup/pass_6_residue_cleanup_report.md,added,pass_6,"Pass 6 residue cleanup report"
docs/cleanup/pass_6_residue_inventory.md,added,pass_6,"Pass 6 residue inventory"
docs/cleanup/pass_6_merge_and_move_log.md,added,pass_6,"Pass 6 merge-and-move log"
docs/cleanup/pass_6_quarantine_manifest.md,added,pass_6,"Pass 6 quarantine manifest"
docs/cleanup/pass_6_verification_results.md,added,pass_6,"Pass 6 verification results"
docs/cleanup/pass_6_repo_tree_after.txt,added,pass_6,"Pass 6 repo tree"
docs/cleanup/pass_6_keep_justification.md,added,pass_6,"Pass 6 keep justifications"
docs/cleanup/pass_6_final_verdict.md,added,pass_6,"Pass 6 final verdict"
docs/cleanup/00_cleanup_index.md,added,pass_6,"Current top-level cleanup index recreated after historical move to read_reports"
docs/cleanup/04_group_by_group_merge_log.md,added,pass_6,"Current grouped merge log"
docs/cleanup/05_quarantine_manifest.md,added,pass_6,"Current final quarantine manifest"
docs/cleanup/07_verification_results.md,added,pass_6,"Current final verification summary"
docs/cleanup/09_final_repo_tree.txt,added,pass_6,"Current final repo tree"
docs/cleanup/10_final_verdict.md,added,pass_6,"Current final verdict"
docs/cleanup/11_change_inventory.csv,added,pass_6,"Current final change inventory CSV"
docs/cleanup/12_change_inventory.json,added,pass_6,"Current final change inventory JSON"
apps/backend/.pytest_cache/,moved_to_quarantine,pass_6,"pytest cache removed from live repo"
apps/backend/runtime/,moved_to_quarantine,pass_6,"empty runtime artifact root removed from live repo"
apps/backend/app/runtime/state.json,moved_to_quarantine,pass_6,"committed runtime auth/session snapshot removed from live repo"
apps/backend/app/runtime/uploads/,moved_to_quarantine,pass_6,"runtime voice upload residue removed from live repo"
apps/backend/app/audio/storage/assets/,moved_to_quarantine,pass_6,"generated audio asset cache removed from live repo"
repo-local __pycache__/,moved_to_quarantine,pass_6,"local Python bytecode caches removed from live repo"
apps/client/.expo/,moved_to_quarantine,pass_6,"Expo cache removed from live repo"
dist/,moved_to_quarantine,pass_6,"build output removed from live repo"
tts_test.py,moved_to_quarantine,pass_6,"ad hoc TTS probe removed from live repo"
output.mp3,moved_to_quarantine,pass_6,"generated ad hoc TTS output removed from live repo"
everything_remaining_ledger.json,moved_to_quarantine,pass_6,"dead migration-control ledger removed from live repo"
EVERYTHING_REMAINING_README.md,moved_to_quarantine,pass_6,"dead migration-control readme removed from live repo"
PRODUCE_NOW_README.md,moved_to_quarantine,pass_6,"dead migration-control readme removed from live repo"
ROLEPLAY_PACK_NOTES.md,moved_to_quarantine,pass_6,"root duplicate notes removed from live repo"
completion_pack_file_list.txt,moved_to_quarantine,pass_6,"dead migration package index removed from live repo"
error_log.txt,moved_to_quarantine,pass_6,"stale log artifact removed from live repo"
docs/cleanup/read_reports/00_cleanup_index.md,added,preexisting_worktree,"Historical final cleanup index moved under read_reports"
docs/cleanup/read_reports/04_group_by_group_merge_log.md,added,preexisting_worktree,"Historical grouped merge log moved under read_reports"
docs/cleanup/read_reports/05_quarantine_manifest.md,added,preexisting_worktree,"Historical quarantine manifest moved under read_reports"
docs/cleanup/read_reports/07_verification_results.md,added,preexisting_worktree,"Historical verification results moved under read_reports"
docs/cleanup/read_reports/09_final_repo_tree.txt,added,preexisting_worktree,"Historical final repo tree moved under read_reports"
docs/cleanup/read_reports/10_final_verdict.md,added,preexisting_worktree,"Historical final verdict moved under read_reports"
docs/cleanup/read_reports/11_change_inventory.csv,added,preexisting_worktree,"Historical change inventory CSV moved under read_reports"
docs/cleanup/read_reports/12_change_inventory.json,added,preexisting_worktree,"Historical change inventory JSON moved under read_reports"
docs/cleanup/read_reports/pass_5_report.md,added,preexisting_worktree,"Historical Pass 5 report moved under read_reports"
docs/cleanup/read_reports/pass_5_authority_map.md,added,preexisting_worktree,"Historical Pass 5 authority map moved under read_reports"
docs/cleanup/read_reports/pass_5_merge_log.md,added,preexisting_worktree,"Historical Pass 5 merge log moved under read_reports"
docs/cleanup/read_reports/pass_5_quarantine_manifest.md,added,preexisting_worktree,"Historical Pass 5 quarantine manifest moved under read_reports"
docs/cleanup/read_reports/pass_5_verification_results.md,added,preexisting_worktree,"Historical Pass 5 verification results moved under read_reports"
docs/cleanup/read_reports/pass_5_repo_tree_after.txt,added,preexisting_worktree,"Historical Pass 5 repo tree moved under read_reports"
docs/cleanup/read_reports/pass_5_final_open_items.md,added,preexisting_worktree,"Historical Pass 5 open items moved under read_reports"
