path,status,area,reason
.gitignore,modified,security,"ignore tracked runtime artifacts, keystore, and cache"
android/app/build.gradle,modified,android_release,"fail closed unless real release signing env vars exist"
android/app/src/main/AndroidManifest.xml,modified,android_security,"remove SYSTEM_ALERT_WINDOW and disable backup"
android/app/src/main/res/xml/secure_store_backup_rules.xml,added,android_security,"define backup exclusions for secure store"
android/app/src/main/res/xml/secure_store_data_extraction_rules.xml,added,android_security,"define data extraction exclusions for secure store"
android/app/debug.keystore,removed_from_git,security,"remove debug signing key from version control"
apps/backend/api_contract.py,modified,backend_tests,"restore missing minimal contract utilities and models for test subset"
apps/backend/app/core/auth.py,modified,backend_security,"fallback away from hard dependency on bcrypt"
apps/backend/app/core/config.py,modified,backend_config,"production-safe dev mode default and billing config keys"
apps/backend/app/routers/v1_cards.py,modified,backend_authz,"require auth for personalized card runtime routes"
apps/backend/app/routers/v1_subscription.py,modified,backend_billing,"add truthful plans endpoint and fail-closed billing URLs"
apps/backend/app/runtime/state.json,removed_from_git,security,"remove tracked runtime auth state from version control"
apps/backend/app/runtime/uploads/voice/roleplay-session/recording.m4a,removed_from_git,privacy,"remove tracked voice recording from version control"
apps/backend/runtime/uploads/voice/roleplay-session/recording.m4a,removed_from_git,privacy,"remove tracked runtime upload from version control"
apps/backend/app/services/subscription_service.py,modified,backend_entitlements,"explicit override flag and real billing URL helpers"
apps/backend/app/services/tts/providers/google.py,modified,backend_tts,"implement Google provider instead of diagnostics-only stub"
apps/backend/app/services/tts/runtime.py,modified,backend_tts,"honor configured provider order and aligned health"
apps/backend/app/services/voice_service.py,modified,backend_tts,"report actual provider state"
apps/backend/learning/adapter.py,modified,backend_tests,"restore missing adapter exports for test subset"
apps/backend/learning/confidence_tracker_service.py,modified,backend_tests,"add classify_confidence helper"
apps/backend/learning/personal_phrase_bank_service.py,modified,backend_tests,"add missing phrase bank helpers"
apps/backend/learning/study_plan_service.py,modified,backend_tests,"add missing build_study_plan wrapper"
apps/backend/scripts/boot_gate.sh,modified,infra,"replace brittle socket probe with deterministic local health validation"
apps/backend/scripts/deploy.sh,modified,infra,"fail when remote env is missing and support explicit DEPLOY_ENV_FILE"
apps/client/components/parallax-scroll-view.tsx,modified,frontend_types,"fix color scheme narrowing"
apps/client/core/api/apiConfig.ts,modified,frontend_config,"env-driven API base URL"
apps/client/features/billing/screens/SubscriptionScreen.tsx,modified,frontend_types,"remove impossible internal plan filter"
apps/client/features/exam/screens/ExamRuntimeScreen.tsx,modified,frontend_types,"fix speaking task union access"
apps/client/features/onboarding/screens/PlanSelectionScreen.tsx,modified,frontend_types,"map yearly to annual and remove stale badge access"
apps/client/hooks/use-theme-color.ts,modified,frontend_types,"fix color scheme narrowing"
apps/client/services/authStorage.ts,modified,frontend_security,"use secure store with migration and cleanup"
apps/client/state/HomeRoute.tsx,modified,frontend_types,"derive bundle from plan category"
apps/client/state/ProgressRoute.tsx,modified,frontend_types,"derive bundle from plan category"
apps/client/state/authStore.ts,modified,frontend_security,"persist auth session via secure storage"
apps/client/state/subscriptionStore.ts,modified,frontend_types,"narrow profession arrays"
conftest.py,added,testing,"insert repo/backend paths for pytest collection"
packages/core/api/apiConfig.ts,modified,shared_config,"env-driven API and audio base URLs"
packages/core/api/entitlements.ts,modified,shared_types,"export SubscriptionStatus alias"
packages/ui/screens/CertificateScreen.tsx,added,frontend_types,"restore missing UI screen module"
packages/ui/screens/HomeScreen.tsx,modified,frontend_types,"narrow percentage string types"
tsconfig.json,modified,frontend_build,"add baseUrl so path aliases compile"
