area,hit_count,ratio,sample_ids,sample_fronts
patient_interaction,654,0.047776,card.vocab.doctor.oire.0160 || card.vocab.doctor.potilas.0163 || card.vocab.doctor.oire.0307 || card.vocab.doctor.potilasturvallisuus.0316 || card.vocab.doctor.oireyhtyma.0406,oire || potilas || oire
symptoms_conditions,1551,0.113303,card.vocab.doctor.hengitys.0133 || card.vocab.doctor.kipu.0142 || card.vocab.doctor.kipulaake.0143 || card.vocab.doctor.kuume.0144 || card.vocab.doctor.kuumemittari.0145,hengitys || kipu || kipulääke
medication_dosage,772,0.056396,card.sentence.doctor.ota.tama.laake.kahdesti.paivassa.0120 || card.vocab.doctor.kipulaake.0143 || card.vocab.doctor.laake.0152 || card.vocab.doctor.laake.0153 || card.vocab.doctor.resepti.0166,Take this medication twice a day. -> ? (Finnish) || kipulääke || lääke
hygiene_infection,303,0.022135,card.sentence.doctor.diabetes.lisaa.esimerkiksi.infektioalttiutta.2.ja.verisuonivauri.0333 || card.sentence.doctor.diabetes.lisaa.esimerkiksi.infektioalttiutta.2.ja.verisuonivauri.3322 || card.sentence.doctor.diabetes.lisaa.esimerkiksi.infektioalttiutta.2.ja.verisuonivauri.4934 || card.sentence.doctor.diabetes.lisaa.esimerkiksi.infektioalttiutta.2.ja.verisuonivauri.6826 || card.sentence.doctor.diabetes.lisaa.esimerkiksi.infektioalttiutta.2.ja.verisuonivauri.9434,Complete the missing part of the sentence. || Complete the missing part of the sentence. || Complete the missing part of the sentence.
handover,0,0.0,,
documentation,66,0.004821,card.sentence.doctor.han.on.selvittanyt.vaitoskirjassaan.paljonko.naiset.saavat.raska.6259 || card.sentence.doctor.han.on.selvittanyt.vaitoskirjassaan.paljonko.naiset.saavat.raska.6264 || card.sentence.doctor.jarjestelmien.ihmisenkaltaisuuden.on.havaittu.parantavan.kayttok.6997 || card.sentence.doctor.jarjestelmien.ihmisenkaltaisuuden.on.havaittu.parantavan.kayttok.7002 || card.sentence.doctor.jarjestelmien.ihmisenkaltaisuuden.on.havaittu.parantavan.kayttok.7007,Complete the missing part of the sentence. || Complete the missing part of the sentence. || Complete the missing part of the sentence.
emergency,27,0.001972,card.vocab.doctor.ensiapu.0250 || card.vocab.doctor.paivystys.0320 || card.vocab.doctor.paivystys.0321 || card.sentence.doctor.elektiivisten.leikausten.vastakohta.on.paivystyskirurgia.jossa.l.8435 || card.sentence.doctor.elektiivisten.leikausten.vastakohta.on.paivystyskirurgia.jossa.l.8440,ensiapu || päivystys || päivystys
consent_privacy,9,0.000657,card.sentence.doctor.ylen.haastattelemat.henkilot.kertovat.pidempiaikaisesta.luottamu.3262 || card.sentence.doctor.ylen.haastattelemat.henkilot.kertovat.pidempiaikaisesta.luottamu.3645 || card.sentence.doctor.ylen.haastattelemat.henkilot.kertovat.pidempiaikaisesta.luottamu.3650 || doctor_3262 || doctor_3263,Complete the missing part of the sentence. || Complete the missing part of the sentence. || Complete the missing part of the sentence.
elderly_homecare,39,0.002849,card.vocab.doctor.kuntoutus.0286 || card.sentence.doctor.han.on.koulutukseltaan.sairaanhoitaja.mutta.laphan.laakarin.kirj.1534 || card.sentence.doctor.han.on.koulutukseltaan.sairaanhoitaja.mutta.laphan.laakarin.kirj.3523 || card.sentence.doctor.han.on.koulutukseltaan.sairaanhoitaja.mutta.laphan.laakarin.kirj.6895 || card.sentence.doctor.laakarinlausunnon.mukaan.aidilla.epaillaan.myos.muistisairautta.10946,kuntoutus || Complete the missing part of the sentence. || Complete the missing part of the sentence.
family_empathy,35,0.002557,card.vocab.doctor.perhe.0162 || card.sentence.doctor.he.ovat.paatyneet.yrittamaan.perheenlisaysta.keinohedelmoityksen.1516 || card.sentence.doctor.palataan.terveyshuoliin.myohemmin.artikkelissa.2159 || card.sentence.doctor.palataan.terveyshuoliin.myohemmin.artikkelissa.8633 || card.sentence.doctor.virkkalan.mukaan.viranomainen.totesi.etta.sairastumisen.todennak.8735,perhe || Complete the missing part of the sentence. || Complete the missing part of the sentence.
