card_id,bank_scope_id,content_type,level_band,profession,quality_band,overall_score,difficulty_0_100,show_stage,source_rel
card.grammar.doctor.aamulla-illalla-ota-laake-illalla.-meaning-give-a-simple-examination-instruction.0c84cc,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.abessiivi-ilman-rakenteessa-ilman-kuumetta-ilman-selvaa-altistusta-potilas-on-ollut-yskainen-kolme-viikkoa-ilman-kuumetta-tai-selvaa-infektiokontaktia.-the-patient-has-had-a-cough-.d15897,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,72,8,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.abessiivirakenne-ilman-etta-epikriisissa-potilas-kotiutui-ilman-etta-rasituksessa-ilmaantui-uutta-rintakipua.-jatkohoidon-kannalta-olennaiset-rajaukset-merkitaan-selkeasti.-the-pat.ad59d1,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,72,8,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.abessiivirakenne-ilman-etta-lahetteessa-potilas-kotiutui-ilman-etta-rasituksessa-ilmaantui-uutta-rintakipua.-samalla-kuvataan-mitka-loydokset-puoltavat-kiireellisempaa-arviota.-the.d4b013,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,72,8,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.abessiivirakenne-ilman-etta-paivystysarviossa-potilas-kotiutui-ilman-etta-rasituksessa-ilmaantui-uutta-rintakipua.-paatos-kirjataan-niin-etta-sen-peruste-on-myohemmin-tarkistettavi.4db138,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,72,8,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.abessiivirakenne-ilman-etta-vastaanottotilanteessa-potilas-kotiutui-ilman-etta-rasituksessa-ilmaantui-uutta-rintakipua.-the-patient-was-discharged-without-new-chest-pain-appearing-.7a75f6,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,72,8,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.adessiivi-iholla-partitiivi-onko-iholla-kutinaa-meaning-understanding-or-asking-about-a-patient-symptom.365b31,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,26,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.adessiivi-omistus-ja-tilarakenteessa-potilaalla-on-potilaalla-todetaan-potilaalla-todetaan-rasituksessa-paheneva-hengenahdistus-ja-aiempaa-selvasti-matalampi-suorituskyky.-the-pati.95055c,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,72,8,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.agenttipartisiippi-potilaan-kuvaama-epikriisissa-potilaan-kuvaama-rintapaine-ei-tyypillisesti-sateile-mutta-siihen-liittyy-poikkeavaa-hikoilua.-jatkohoitopaikalle-kirjataan-myos-mi.008b7a,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,87,9,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.agenttipartisiippi-potilaan-kuvaama-erikoissairaanhoidon-lahetteessa-potilaan-kuvaama-rintapaine-ei-tyypillisesti-sateile-mutta-siihen-liittyy-poikkeavaa-hikoilua.-tama-muotoilu-au.4fdce8,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,87,9,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.agenttipartisiippi-potilaan-kuvaama-omaisen-havaitsema-epikriisi-potilaan-kuvaama-hengenahdistus-pahenee-rasituksessa-mutta-lievittyy-levossa.-paatos-perustellaan-potilaalle-rauhal.6b8593,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,87,9,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.agenttipartisiippi-potilaan-kuvaama-omaisen-havaitsema-kontrollikaynti-potilaan-kuvaama-hengenahdistus-pahenee-rasituksessa-mutta-lievittyy-levossa.-paatos-perustellaan-potilaalle-.dc2bdd,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,87,9,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.agenttipartisiippi-potilaan-kuvaama-omaisen-havaitsema-kontrollikaynti-potilaan-kuvaama-hengenahdistus-pahenee-rasituksessa-mutta-lievittyy-levossa.-the-shortness-of-breath-describ.8ff13c,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,87,9,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.agenttipartisiippi-potilaan-kuvaama-omaisen-havaitsema-kotiutusohje-potilaan-kuvaama-hengenahdistus-pahenee-rasituksessa-mutta-lievittyy-levossa.-paatos-perustellaan-potilaalle-rau.6ce5c0,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,87,9,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.agenttipartisiippi-potilaan-kuvaama-potilaalle-annettavassa-ohjeessa-potilaan-kuvaama-rintapaine-ei-tyypillisesti-sateile-mutta-siihen-liittyy-poikkeavaa-hikoilua.-potilaalle-annet.6e1419,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,87,9,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.agenttipartisiippi-potilaan-kuvaama-vastaanottokirjauksessa-potilaan-kuvaama-rintapaine-ei-tyypillisesti-sateile-mutta-siihen-liittyy-poikkeavaa-hikoilua.-the-chest-pressure-descri.6e984e,professional.doctor.grammar,grammar_card,C1_C2,doctor,coverage_topup,29,87,9,professional/doctor/grammar/c1_c2.json
card.grammar.doctor.aika-on-kello-numero-aika-on-kello-kaksi.-the-appointment-is-at-two-o-clock.837353,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.aika-on-viikonpaiva-aika-on-maanantaina.-the-appointment-is-on-monday.3daba4,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.aiti-on-adjektiivi-aiti-on-huolissaan.-the-mother-is-worried.a2bb9e,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.ala-ota-asiaa-ala-ota-laaketta-tyhjaan-vatsaan.-meaning-say-or-ask-that-something-is-not-present.557f2e,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.ala-ota-lukusana-partitiivi-ala-ota-kahta-tablettia-samaan-aikaan.-do-not-take-two-tablets-at-the-same-time.13c44f,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,26,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.ala-ota-partitiivi-ala-ota-ylimaaraista-tablettia.-meaning-give-a-clear-instruction-about-medicine.5e693a,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,26,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.ala-perusmuoto-ala-jannita-katta.-meaning-give-a-simple-instruction-during-the-examination.e0e8b5,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.ala-perusmuoto-ala-ota-kahta-tablettia-kerralla.-meaning-the-doctor-tells-the-patient-not-to-take-two-tablets-at-once.38da3a,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.alkaa-loppuu-milloin-hengenahdistus-alkaa-meaning-ask-about-time-or-duration.cde638,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.alkoiko-oire-ajankohta-alkoiko-huimaus-aamulla-meaning-ask-clearly-about-a-symptom.887d61,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,18,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.allekirjoita-objekti-allekirjoita-suostumus.-meaning-ask-permission-or-explain-calmly-before-an-action.c8f544,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,30,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.aloita-objekti-milloin-aloita-tama-laake-tanaan.-meaning-give-a-clear-instruction-about-medicine.66dcb2,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,30,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.annan-objektin-annan-sinulle-sairauslomatodistuksen.-meaning-the-doctor-says-they-will-give-a-sick-leave-certificate.1ae490,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,30,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.annan-sinulle-objektin-annan-sinulle-kirjallisen-ohjeen.-meaning-handle-simple-documents-bookings-or-care-instructions.120625,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,30,8,professional/doctor/grammar/a1_a2.json
card.grammar.doctor.apteekki-nakee-objektin-apteekki-nakee-reseptin.-the-pharmacy-sees-the-prescription.258fae,professional.doctor.grammar,grammar_card,A1_A2,doctor,coverage_topup,29,30,8,professional/doctor/grammar/a1_a2.json
