area,hit_count,ratio,sample_ids,sample_fronts
patient_interaction,630,0.062649,card.sentence.nurse.hoitaja.auttaa.potilasta.peseytymisessa.0484 || card.sentence.nurse.hoitaja.auttaa.potilasta.pukeutumaan.aamulla.0485 || card.sentence.nurse.hoitaja.auttaa.potilasta.pukeutumisessa.0486 || card.sentence.nurse.hoitaja.auttaa.potilasta.0487 || card.sentence.nurse.hoitaja.opastaa.potilasta.kayttamaan.soittonappia.0489,The nurse helps the patient with bathing. -> ? || The nurse helps the patient get dressed in the morning. -> ? || The nurse helps the patient with dressing. -> ?
symptoms_conditions,679,0.067522,card.sentence.nurse.hoitaja.antaa.potilaalle.kipulaaketta.0483 || card.sentence.nurse.hoitaja.mittaa.potilaan.verenpaineen.0488 || card.sentence.nurse.hoitaja.tarkkailee.potilaan.verenpainetta.0493 || card.sentence.nurse.mittaan.potilaalta.kuumeen.ja.ilmoitan.siita.laakarille.0508 || card.sentence.nurse.mittaan.verenpaineen.potilaalta.kerran.viikossa.ja.kirjaan.tulok.0509,The nurse gives the patient pain medication. -> ? || The nurse measures the patient's blood pressure. -> ? || The nurse monitors the patient's blood pressure. -> ?
medication_dosage,641,0.063743,card.sentence.nurse.hoitaja.antaa.potilaalle.kipulaaketta.0483 || card.sentence.nurse.ota.tama.laake.veden.kanssa.0522 || card.vocab.nurse.kipulaake.0589 || card.vocab.nurse.laake.0609 || card.vocab.nurse.sarkylaake.0647,The nurse gives the patient pain medication. -> ? || Take this medication with water. -> ? (in Finnish) || kipulääke
hygiene_infection,124,0.012331,card.vocab.nurse.hygienia.0575 || card.vocab.nurse.kasihygienia.0601 || card.sentence.nurse.mita.nopeammin.infektio.havaitaan.sita.tehokkaammin.sita.voidaan.0934 || card.sentence.nurse.noudatan.c.difficile.potilaan.hoidossa.kosketuseristysta.ja.kayt.0940 || card.sentence.nurse.noudatan.tiukkoja.eristyskaytantoja.virusperaisen.verenvuotokuum.0942,"hygienia || käsihygienia || English: 'The faster the infection is detected, the more effectively it can be treated.' -> Finnish:"
handover,2,0.000199,card.sentence.nurse.annan.raportin.seuraavalle.vuorolle.rakenteellisesti.ja.keskeise.0804 || card.sentence.nurse.annan.raportin.seuraavalle.vuorolle.rakenteellisesti.ja.keskeise.0804,"I give a structured handover to the next shift, emphasizing key issues. -> ? || I give a structured handover to the next shift, emphasizing key issues. -> ?"
documentation,100,0.009944,card.sentence.nurse.mittaan.verenpaineen.potilaalta.kerran.viikossa.ja.kirjaan.tulok.0509 || card.sentence.nurse.hoitaja.kirjaa.potilastiedot.tietojarjestelmaan.0846 || card.sentence.nurse.hoitaja.kirjaa.tiedot.potilastietojarjestelmaan.0847 || card.sentence.nurse.hoitaja.raportoi.potilaan.voinnista.seuraavalle.vuorolle.0857 || card.sentence.nurse.hoitaja.raportoi.vuoronvaihdossa.edellisen.vuoron.tapahtumat.0858,I measure the patient's blood pressure once a week and record the results in the patient records. -> ? || The nurse records patient information in the system. -> ? || English: 'The nurse records the information in the patient information system.' -> Finnish:
emergency,34,0.003381,card.sentence.nurse.ensiaputilanteessa.toimin.nopeasti.ja.rauhallisesti.seka.varmist.0829 || card.sentence.nurse.hoitaja.suorittaa.elvytysta.potilaalle.jonka.sydan.on.pysahtynyt.0860 || card.vocab.nurse.akuutti.1121 || card.vocab.nurse.elvytys.1137 || card.vocab.nurse.elvytyskielto.1138,"In a first aid situation, I act quickly and calmly and ensure the patient's vital functions. -> ? || The nurse performs CPR on a patient whose heart has stopped. -> ? || akuutti"
consent_privacy,17,0.001691,card.sentence.nurse.keskustelen.nuoren.kanssa.luottamuksellisesti.ja.arvioin.yhdessa.0892 || card.sentence.nurse.kasittelen.potilastietoja.luottamuksellisesti.ja.vain.tyotehtavi.0914 || card.sentence.nurse.sailytan.potilaan.turvakansion.lukitussa.kaapissa.tietosuojan.vu.1035 || card.sentence.nurse.toteutan.etavastaanottoa.videoyhteyden.valityksella.turvallisest.1050 || card.sentence.nurse.kasittelen.potilastietoja.luottamuksellisesti.ja.vain.tyotehtavi.0914,I discuss confidentially with the young person and together we assess their support needs. -> ? || I handle patient data confidentially and only to the extent required by my work duties. -> ? || I store the patient's safety folder in a locked cabinet for data protection. -> ?
elderly_homecare,31,0.003083,card.sentence.nurse.asetamme.potilaan.kanssa.konkreettiset.kuntoutustavoitteet.ja.se.0813 || card.sentence.nurse.ohjaan.paivakirurgista.potilasta.leikkaukseen.valmistautumisessa.0965 || card.sentence.nurse.tuen.muistisairaan.ihmisen.arvokasta.elamanloppua.oireiden.lievi.1064 || card.vocab.nurse.kotihoito.1197 || card.vocab.nurse.kuntoutus.1203,We set concrete rehabilitation goals with the patient and monitor their achievement. -> ? || I guide the day surgery patient in preparing for surgery and home care instructions. -> ? || I support the dignified end of life for a person with dementia through symptom relief and presence. -> ?
family_empathy,48,0.004773,card.sentence.nurse.autan.mielellani.mutta.saat.tehda.itse.jos.haluat.0479 || card.sentence.nurse.hoitaja.rauhoittaa.ahdistunutta.potilasta.rauhallisella.puheella.0490 || card.sentence.nurse.hoitaja.rohkaisee.potilasta.kertomaan.huolistaan.0491 || card.sentence.nurse.ohjaan.aitia.imetyksessa.ja.autan.vauvan.oikeaan.asentoon.0516 || card.sentence.nurse.voitte.pyytaa.perhetta.tai.ystavia.kaymaan.seura.auttaa.jaksamaa.0559,"I'm happy to help, but you can do it yourself if you want. -> ? (in Finnish) || The nurse calms the anxious patient with calm speech. -> ? || The nurse encourages the patient to talk about his concerns. -> ?"
