id,title,category,severity,verdict,deployment_impact,owner,file_paths,evidence,recommended_fix,fastest_method,automation_feasibility,human_review_needed,verification_steps,regression_risk,release_blocker
CBL-001,Main /cards runtime uses legacy authority loader instead of the canonical cards runtime stack,bank_authority,Critical,FAIL,blocks deployment,backend,apps/backend/app/routers/v1_cards.py | apps/backend/app/services/cards_service.py | apps/backend/app/runtime/cards_logic.py | apps/backend/app/runtime/cards_material_bank.py | apps/backend/app/cards/runtime/repositories/card_repository.py,`v1_cards.py` calls `cards_service`; `cards_service` delegates to `app.runtime.cards_logic`; that code calls `load_authority_cards()`. The newer `app.cards.runtime` repository stack is not authoritative for the live `/cards` router.,"Move the live `/cards` router onto one canonical authority path, preferably the canonical cards runtime repository stack, and retire the legacy loader.",Repoint `/cards` to the canonical runtime service and add a compatibility adapter for existing response envelopes if needed.,medium,yes,Trace `/cards/deck` and `/cards/session/adaptive/start` end to end and prove a single authority path with fixture-backed tests.,high,true
CBL-002,"Runtime authority merges published and legacy donor banks, creating severe drift and duplication",duplication_and_authority,Critical,FAIL,blocks deployment,backend,apps/backend/app/runtime/cards_material_bank.py | apps/backend/materials/cards/published/kielitaika_normalized_cards.json | apps/backend/practice/data/cards/doctor_cards.json | apps/backend/practice/data/cards/nurse_cards.json | apps/backend/practice/data/cards/lahioitaja_cards.json | docs/audits/card_bank_study/duplicate_report.csv,"Runtime total is 35149 cards, with 28842 legacy and 6307 published. Exact duplicate groups: 13009; duplicate rows: 21946.","Stop loading both the split published tree and the legacy donor banks into the same live bank. Deduplicate before publication, not at selection time.",Create a single canonical publication manifest and have the live runtime read only that manifest-backed dataset.,high,yes,Reduce duplicate rows to near-zero for exact duplicates and rerun duplicate_report.csv after publication.,high,true
CBL-003,Published grammar cards exist but are silently dropped by the live runtime loader,schema_fit,Critical,FAIL,blocks deployment,backend,apps/backend/materials/cards/published/floently_general_grammar_cards.json | apps/backend/materials/cards/published/floently_practical_nurse_grammar_cards.json | apps/backend/app/runtime/cards_material_bank.py,"Published grammar files contain canonical `grammar_card` entries, but `load_authority_cards()` emitted runtime content types only for `sentence_card` and `vocabulary_card`. The loader looks for `front.term|sentence|text`, while grammar cards use `front.rule_label|pattern|example`.",Either make the live runtime consume canonical card envelopes directly or add explicit grammar-card mapping in the legacy loader.,"Retire the legacy loader; if that is not possible, patch `_load_published_cards()` to map grammar front/back schema correctly and add tests.",high,low,"After fix, runtime bank stats must include grammar cards and `/cards/deck?content_type=grammar_card` must return non-empty results.",high,true
CBL-004,Published general cards are mislabeled as professional in the live runtime loader,schema_fit,High,FAIL,should fix before deployment,backend,apps/backend/app/runtime/cards_material_bank.py | apps/backend/materials/cards/published/kielitaika_normalized_cards.json,"Runtime stats show `path {""professional"": 35149}` even though published samples from `kielitaika_normalized_cards.json` have `path: general`. `_load_published_cards()` hardcodes `path = professional`.",Preserve the canonical `path` field from published cards instead of forcing `professional`.,"Read `item[""path""]` directly and add a schema consistency test between canonical payload and runtime materialization.",high,low,Rerun runtime stats and confirm general/professional split matches source data.,high,true
CBL-005,Vocabulary cards in the live bank are dominated by low-retrieval donor templates,learning_effectiveness,Critical,FAIL,blocks deployment,content,apps/backend/practice/data/cards/doctor_cards.json | apps/backend/practice/data/cards/nurse_cards.json | apps/backend/practice/data/cards/lahioitaja_cards.json,"Legacy donor items repeat the same token across recognition, recall, reverse, completion, and context_mcq variants; examples include `prompt: potilas, answer: potilas` and `prompt: lääkäri, answer: lääkäri`. This supports recognition loops more than meaningful recall or communicative production.","Use curated vocabulary cards with meaningful gloss, collocation, and context instead of token-self-matching drills; keep only the strongest donor rows after dedupe and prompt redesign.",Transform curated `sanasto/*` packs into canonical vocabulary cards and quarantine low-value legacy rows.,medium,yes,Sample 100 vocabulary cards and confirm prompts test meaning/use rather than identity matching.,medium,true
CBL-006,Phrase/sentence bank contains large volumes of generic or article-derived filler rather than reusable workplace chunks,phrase_quality,Critical,FAIL,blocks deployment,content,docs/audits/card_bank_study/duplicate_report.csv | apps/backend/materials/cards/published/professional/doctor/phrases/b1_b2.json | apps/backend/materials/cards/published/professional/practical_nurse/phrases/b1_b2.json,"Top duplicate groups are long article fragments such as surgical infection prose and medical-history filler. The practical nurse external phrase pack also contains generic lifestyle lines like winter holiday and furniture shopping, which do not justify profession routing.","Curate phrase banks around high-value formulaic workplace chunks, then deduplicate long article-derived sentence debris.","Promote curated `fraasit/*` cards, demote or discard long completion fragments, and enforce maximum sentence length / formulaic-use checks in validation.",high,yes,Top duplicate groups should no longer be article fragments; sampled phrase cards should read like reusable healthcare interaction chunks.,high,true
CBL-007,CEFR/YKI progression is structurally weak in the live bank,cefr_yki_fit,High,FAIL,should fix before deployment,content,apps/backend/app/runtime/cards_material_bank.py | docs/audits/card_bank_study/_metrics.json,"Level distribution in the live bank is overwhelmingly B1_B2 (34348 of 35149). Legacy donor banks have no robust can-do progression and the live `/cards` path is mostly lexical recall or sentence translation, not YKI-like task performance.",Assign credible level bands at publication time and tie cards to communicative can-do outcomes rather than flat token frequency dumps.,"Normalize levels during import, preserve curated A1/A2 and C1/C2 packs, and add validation checks for level balance by profession and card type.",medium,yes,Recompute level distribution and review a stratified sample per level band.,medium,false
CBL-008,Doctor bank lacks key work-to-language domains despite large size,profession_fit_doctor,High,FAIL,should fix before deployment,content,docs/audits/card_bank_study/profession_coverage_doctor.csv,"Doctor coverage ratios are near-zero for handover (0.0), documentation (0.48%), emergency (0.20%), consent/privacy (0.07%), elderly/home-care (0.28%), and family/empathy (0.26%).","Add doctor-specific chunks for informed consent, explaining findings, treatment planning, urgent escalation, documentation, and relative communication.","Start from curated doctor phrase/vocab/grammar packs, then add manual high-value scenario sets for missing domains.",medium,yes,"Coverage ratios for the missing domains should materially increase and samples should be patient-facing doctor interaction, not article prose.",medium,true
CBL-009,"Nurse bank has the strongest current profession fit but still undercovers handover, privacy, and emergency language",profession_fit_nurse,High,WARN,should fix before deployment,content,docs/audits/card_bank_study/profession_coverage_nurse.csv,"Nurse coverage includes stronger patient, medication, and documentation examples than the other professions, but handover is only 0.02%, consent/privacy 0.17%, and emergency 0.34% of the bank.","Preserve the strongest nurse scenario cards and add missing shift-handover, escalation, confidentiality, and team-communication clusters.",Promote curated nurse phrase/grammar packs and author a compact set of missing high-value chunks manually.,medium,yes,Rerun coverage CSV and sample at least 50 nurse cards from the added domains.,medium,false
CBL-010,Practical nurse bank mixes some strong care-work cards with heavy generic clutter and article debris,profession_fit_practical_nurse,Critical,FAIL,blocks deployment,content,docs/audits/card_bank_study/profession_coverage_practical_nurse.csv | /home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/fraasit/lähihoitaja_fraasit/lähihoitaja_fraasit.json,"Practical nurse coverage shows zero handover and only 0.13% consent/privacy, while external phrase samples include unrelated lifestyle content such as ski holidays and furniture shopping under the profession label.","Separate useful care-work foundation from generic everyday clutter and rebuild the practical nurse track around direct care, home care, dementia, documentation, and relative communication.","Deduplicate, discard generic filler, and import only curated practical nurse cards that map to care-work scenarios.",medium,yes,"A post-fix practical nurse sample should contain mostly care-work and home-care interaction language, not generic household sentences.",high,true
CBL-011,"External compiled bank has high-value curated packs, but its aggregate combined files are unsafe donor material",external_bank_analysis,High,WARN,should fix before deployment,content,/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/enriched_cards.json | /home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocabulary_full.json | /home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/finnish_grammar_content_pack__v1.json,"Combined files contain English-heavy noise such as `health`, `that`, `public`, `also`, and parliamentary English sentence recalls. In contrast, curated fraasit/sanasto/kielioppi packs are runtime-shaped and profession-linked.",Treat combined files as donor-only mining sources; integrate curated packs and structured new_practice packs first.,"Build a Python normalization pipeline that ingests curated and new_practice packs, while filtering combined files through Finnish-only and profession-validity checks before any reuse.",high,yes,Imported rows should come primarily from curated and structured packs; combined-file imports should require quarantine and review.,medium,false
CBL-012,External cards/*.json bank is already imported verbatim into the live legacy bank,external_bank_analysis,Medium,PASS,can defer,backend,apps/backend/practice/data/cards/doctor_cards.json | apps/backend/practice/data/cards/nurse_cards.json | apps/backend/practice/data/cards/lahioitaja_cards.json | /home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/cards/doctor_cards.json,SHA-256 comparison showed the three external `cards/*.json` files are byte-identical to the local `practice/data/cards/*.json` donor banks.,Do not re-import these files. Focus on deduplicating or retiring them.,Mark them as already integrated in the pipeline manifest and exclude from future imports.,high,no,Hash-compare before import and reject identical sources.,low,false
CBL-013,Fastest safe improvement path is a Python normalization + dedupe + publication pipeline anchored to one authority,pipeline_recommendation,High,WARN,should fix before deployment,backend,docs/audits/card_bank_study/compiled_bank_to_runtime_mapping.csv | docs/audits/card_bank_study/schema_mapping_examples.json | docs/audits/card_bank_study/sample_normalization_rules.md,Curated external packs are structured enough for automated conversion; the main blocker is not extraction but authority drift and publication discipline.,Implement a Python pipeline with stages: inventory -> normalize -> dedupe -> tag -> validate -> publish -> smoke test. Keep manual review only for high-risk semantic domains.,"Python, using existing canonical schemas in `apps/backend/app/cards/schemas` and adapter logic similar to `new_practice_repository.py`.",high,yes,"Pipeline should emit deterministic manifests, duplicate reports, and validation failures before publication.",high,false
